,heartrate,steps_window_12
2024-12-07 10:10:00,-2.0737992188480705,-0.18911433404840058
2024-12-07 10:20:00,-2.0577802477483087,-0.18911433404840058
2024-12-07 10:30:00,-2.0221509555764055,-0.18911433404840058
2024-12-07 10:40:00,-1.9816384609240896,-0.18911433404840058
2024-12-07 10:50:00,-1.927148122134722,-0.18911433404840058
2024-12-07 11:00:00,-1.910922454633668,-0.18406807602002828
2024-12-07 11:10:00,-1.896453706543557,-0.18238599001057082
2024-12-07 15:50:00,-2.022008026818764,-0.10290742606370532
2024-12-07 19:30:00,-2.1024746218997072,-0.057070582305989104
2024-12-07 19:40:00,-2.1064776422046374,-0.057070582305989104
2024-12-07 19:50:00,-2.015579728827837,-0.07694022329270533
2024-12-07 20:00:00,-1.9809783394254235,-0.07506890260718423
2024-12-07 20:10:00,-1.9402775443515357,-0.06918160157408305
2024-12-07 20:20:00,-1.8692555125558723,-0.08061978643839379
2024-12-07 20:30:00,-1.8117784107679047,-0.08692760897385954
2024-12-07 20:40:00,-1.6978578382583056,-0.12340784930396842
2024-12-07 20:50:00,-1.5274488916094926,-0.2576593389337926
2024-12-07 21:00:00,-1.4724619375191355,-0.2807880215638327
2024-12-07 21:10:00,-1.438865942900809,-0.32970868967222083
2024-12-07 21:20:00,-1.430772718808865,-0.40643984647030607
2024-12-07 21:30:00,-1.482377655334876,-0.4010571712400418
2024-12-07 23:30:00,-1.451709322861015,-0.43329715308797695
2024-12-08 00:20:00,-1.368169298441057,-0.528054664954081
2024-12-08 00:30:00,-1.3655166946245387,-0.5331009229824535
2024-12-08 01:50:00,-1.3995458121564723,-0.5364650950013683
2024-12-08 02:00:00,-1.3882180142289477,-0.6272977395120716
2024-12-08 03:10:00,-1.3776826221011162,-0.6317833022039582
2024-12-08 03:20:00,-1.383212229299443,-0.6340260835499015
2024-12-08 03:30:00,-1.396867110309486,-0.6340260835499015
2024-12-08 04:40:00,-1.416817207313735,-0.6225878986855907
2024-12-08 10:00:00,-1.4710561403715379,-0.5961791483371085
2024-12-08 12:50:00,-1.5280949518358702,-0.5852455892756349
2024-12-08 13:00:00,-1.5956975935819,-0.570527336692882
2024-12-08 13:10:00,-1.602773953667553,-0.5541269981006717
2024-12-08 16:10:00,-1.5845734742991968,-0.5547577803542184
2024-12-08 16:20:00,-1.4713266139140193,-0.5746274213409348
2024-12-08 16:30:00,-1.4154152373658038,-0.575994116223619
2024-12-08 16:40:00,-1.3460375902737145,-0.5785172452378049
2024-12-08 16:50:00,-1.290260566386332,-0.5801993312472624
2024-12-08 19:30:00,-1.272694998529566,-0.5650605571621452
2024-12-08 19:40:00,-1.2931046620697848,-0.536254834250186
2024-12-08 19:50:00,-1.3611101628890143,-0.46245331058523953
2024-12-08 21:40:00,-1.3655541355166911,-0.45698653105450265
2024-12-08 21:50:00,-1.3523462354744291,-0.45151975152376606
2024-12-08 22:00:00,-1.2966897844878014,-0.45151975152376606
2024-12-08 22:10:00,-1.1862450073999447,-0.45151975152376606
2024-12-08 22:20:00,-1.1772936666088507,-0.4283069645932527
2024-12-08 22:30:00,-1.3293313079869964,-0.33608659912474725
2024-12-08 22:40:00,-1.3440278972826618,-0.3203170427860835
2024-12-08 22:50:00,-1.3251308353831526,-0.32312051946851245
2024-12-08 23:20:00,-1.1836327280228274,-0.3958907642109942
2024-12-08 23:30:00,-1.22616712206564,-0.42712950438663283
2024-12-09 00:40:00,-1.2549780167000768,-0.45993018157105353
2024-12-09 00:50:00,-1.2431501629428547,-0.5032438963145832
2024-12-09 02:10:00,-1.1684885705450283,-0.5993751117550776
2024-12-09 02:20:00,-1.2091809469303534,-0.6054306213891245
2024-12-09 02:50:00,-1.1700654348522586,-0.628979825521529
2024-12-09 03:00:00,-1.1155508538923673,-0.6547718109998772
2024-12-09 03:40:00,-1.0785573016767867,-0.6718730187626946
2024-12-09 04:50:00,-1.0821744886993154,-0.6718730187626946
2024-12-09 05:00:00,-1.0803912154972086,-0.6784331541995786
2024-12-09 05:30:00,-0.944781743090708,-0.8045896049088889
2024-12-09 05:40:00,-0.9130541788744022,-0.8400816197084418
2024-12-09 06:30:00,-0.8944515027585432,-0.8400816197084415
2024-12-09 06:40:00,-0.8573182440332185,-0.828667464644266
2024-12-09 08:00:00,-0.9086570321628681,-0.7942447759507255
2024-12-09 08:10:00,-0.9112842522108099,-0.778685480363244
2024-12-09 09:00:00,-0.9533883091530352,-0.7585004482497544
2024-12-09 09:10:00,-0.9483242473214964,-0.7585004482497544
2024-12-09 09:30:00,-0.9381961236584171,-0.7585004482497544
2024-12-09 12:30:00,-0.9403664358719339,-0.7585004482497544
2024-12-09 13:00:00,-0.9369903946509067,-0.7585004482497544
